Date,Flight_No,Duty_Code,STD_Local,STA_Local,From_Airport,To_Airport,Aircraft_Type
01/01/2026,6327,,08:25,09:12,DEL,DED,320
01/01/2026,2312,,09:55,10:48,DED,DEL,320
01/01/2026,2230,,12:46,13:57,DEL,KNU,320
01/01/2026,2158,,14:31,15:50,KNU,DEL,320
05/01/2026,6836,,06:54,08:57,DEL,CCU,321
05/01/2026,5077,,09:46,12:06,CCU,DEL,321
06/01/2026,6843,,12:07,13:24,DEL,UDR,321
06/01/2026,6844,,13:58,15:11,UDR,DEL,321
06/01/2026,6845,,16:30,18:12,DEL,STV,321
06/01/2026,6846,,18:41,20:12,STV,DEL,321
07/01/2026,519,DHF,23:41,01:53,DEL,BOM,321
07/01/2026,6045,,02:54,04:49,BOM,DEL,321
11/01/2026,2052,,12:06,14:15,DEL,HYD,321
11/01/2026,2073,,15:53,17:30,HYD,TRZ,320
12/01/2026,770,,05:27,08:19,TRZ,DEL,320
15/01/2026,5037,,04:32,05:15,DEL,JAI,321
16/01/2026,752,,05:52,07:48,JAI,HYD,321
17/01/2026,424,,05:49,07:51,HYD,DEL,321
17/01/2026,6328,,10:11,12:56,DEL,BOM,321
17/01/2026,615,,14:01,16:09,BOM,DEL,321
19/01/2026,6731,,14:25,16:19,DEL,RDP,321
19/01/2026,6732,,16:47,19:13,RDP,DEL,321
19/01/2026,6733,,20:18,21:56,DEL,AMD,320
19/01/2026,6794,,23:37,01:23,AMD,BOM,320
20/01/2026,359,DHF,16:32,18:36,BOM,DEL,321
23/01/2026,6762,,13:20,14:49,DEL,IXJ,321
23/01/2026,2044,,16:14,18:01,IXJ,DEL,321
24/01/2026,6188,DHF,13:04,15:43,DEL,BLR,321
24/01/2026,451,,17:25,20:00,BLR,LKO,320
24/01/2026,6354,,21:00,23:34,LKO,BLR,320
25/01/2026,6034,DHF,18:00,20:54,BLR,DEL,321
26/01/2026,2145,,16:21,19:18,DEL,CCJ,321
26/01/2026,2773,DHF,19:54,22:56,CCJ,DEL,321
27/01/2026,759,,17:32,18:28,DEL,IXC,321
27/01/2026,760,,19:08,20:20,IXC,DEL,321
27/01/2026,761,,20:59,23:15,DEL,BBI,321
27/01/2026,806,,23:43,02:05,BBI,DEL,321
30/01/2026,1103,,12:41,15:25,DEL,DAC,321
30/01/2026,1104,,16:24,18:43,DAC,DEL,321
31/01/2026,6711,,13:09,15:26,DEL,CCU,321
31/01/2026,6721,,16:09,18:37,CCU,DEL,321
31/01/2026,6722,,19:24,21:34,DEL,CCU,321
